,Cluster Labels,Address,Suburb,Region,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Suburb Latitude,Suburb Longitude
853,3,"Saint Albans, Christchurch New Zealand",Saint Albans,Christchurch New Zealand,Liquor Store,Café,Shop & Service,Bookstore,Bakery,Thai Restaurant,Automotive Shop,Pub,Indian Restaurant,Fast Food Restaurant,-43.50667835,172.6342114
854,3,"Saint Heliers, Auckland City New Zealand",Saint Heliers,Auckland City New Zealand,Café,Bakery,Restaurant,Park,Pizza Place,Indian Restaurant,Diner,Playground,Convenience Store,French Restaurant,-36.8534529,174.8582612
855,0,"Saint Johns, Auckland City New Zealand",Saint Johns,Auckland City New Zealand,Fruit & Vegetable Store,Basketball Stadium,Athletics & Sports,Tennis Court,Café,Fast Food Restaurant,Farmers Market,Italian Restaurant,Restaurant,Sushi Restaurant,-36.8765875,174.8417411
856,1,"Saint Martins, Christchurch New Zealand",Saint Martins,Christchurch New Zealand,Park,Café,Supermarket,Auto Workshop,Seafood Restaurant,Farmers Market,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Film Studio,-43.5575336,172.653632
857,3,"Saint Marys Bay, Auckland City New Zealand",Saint Marys Bay,Auckland City New Zealand,Café,Bar,Restaurant,Italian Restaurant,Japanese Restaurant,Seafood Restaurant,Coffee Shop,Fast Food Restaurant,Indian Restaurant,Trail,-36.8447404,174.7454914
858,2,"Saket, New Delhi India",Saket,New Delhi India,Indian Restaurant,Asian Restaurant,Chinese Restaurant,Restaurant,Hotel,Toy / Game Store,Tex-Mex Restaurant,Multiplex,American Restaurant,Café,28.5244107,77.2137253
859,0,"Salisbury, Brisbane",Salisbury,Brisbane,Bus Station,Train Station,Music Store,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,-27.5543181,153.0265175
860,0,"Samakhushi, Kathmandu Nepal",Samakhushi,Kathmandu Nepal,Asian Restaurant,Restaurant,Hotel,Coffee Shop,Café,Italian Restaurant,Bar,Japanese Restaurant,Bakery,Himalayan Restaurant,27.7352622,85.3182163
861,0,"San Pedro, Los Angeles US",San Pedro,Los Angeles US,Coffee Shop,ATM,Burger Joint,Mexican Restaurant,Pharmacy,Pizza Place,Sandwich Place,Italian Restaurant,Fried Chicken Joint,Fast Food Restaurant,33.7358518,-118.2922934
862,3,"Sandgate, Brisbane",Sandgate,Brisbane,Café,Pizza Place,Coffee Shop,Bar,Thrift / Vintage Store,Fish Market,Train Station,Pub,Fast Food Restaurant,Lake,-27.3206626,153.0697564
863,2,"Sandringham, Auckland City New Zealand",Sandringham,Auckland City New Zealand,Indian Restaurant,Bar,Mediterranean Restaurant,Coffee Shop,Thai Restaurant,South Indian Restaurant,Chinese Restaurant,Pet Store,Shop & Service,Gym,-36.8926471,174.7360632
864,0,"Sandy Ground, New York City US",Sandy Ground,New York City US,Bus Stop,Intersection,Greek Restaurant,Athletics & Sports,Art Gallery,Food Truck,Playground,Fish & Chips Shop,Market,Racetrack,40.54113992,-74.21776636
865,4,"Sangam Vihar, New Delhi India",Sangam Vihar,New Delhi India,ATM,Juice Bar,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm,28.49770245,77.2391741
