,Address,Suburb,Region,Latitude,Longitude
179,"Pinjarra Hills, City of brisbane",Pinjarra Hills,City of brisbane,-27.5394651,152.899971
180,"Pullenvale, City of brisbane",Pullenvale,City of brisbane,-27.5257099,152.8851317
181,"Riverhills, City of brisbane",Riverhills,City of brisbane,-27.5595729,152.9088501
182,"Sherwood, City of brisbane",Sherwood,City of brisbane,-27.530860999999998,152.98260969999998
183,"Sinnamon Park, City of brisbane",Sinnamon Park,City of brisbane,-27.5446662,152.94725400000002
184,"St Lucia, City of brisbane",St Lucia,City of brisbane,-27.498736199999996,153.0081642
185,"Taringa, City of brisbane",Taringa,City of brisbane,-27.492399199999998,152.9786001
186,"The Gap, City of brisbane",The Gap,City of brisbane,-27.445519300000004,152.9526612
187,"Toowong, City of brisbane",Toowong,City of brisbane,-27.4857407,152.99159430000003
188,"Upper Brookfield, City of brisbane",Upper Brookfield,City of brisbane,-27.4778049,152.868813
189,"Upper Kedron, City of brisbane",Upper Kedron,City of brisbane,-27.417679999999997,152.92144430000002
190,"Westlake, City of brisbane",Westlake,City of brisbane,-27.545812599999998,152.9172395
191,"Bulwer, City of brisbane",Bulwer,City of brisbane,-27.4044273,153.1393865
192,"Cowan Cowan, City of brisbane",Cowan Cowan,City of brisbane,-27.1253979,153.36635680000003
193,"Kooringal, City of brisbane",Kooringal,City of brisbane,-27.349954800000003,153.4203967
194,"Moreton Bay, City of brisbane",Moreton Bay,City of brisbane,-27.239781899999997,153.2539994
195,"Moreton Island, City of brisbane",Moreton Island,City of brisbane,-27.19264975,153.39431796425487
